,AGE,1b.RACE,2.RACE,3.RACE,4.RACE,5.RACE,6.RACE,0b.FEMALE,1.FEMALE,1b.ZIPINC_QRTL,2.ZIPINC_QRTL,3.ZIPINC_QRTL,4.ZIPINC_QRTL
AGE,2.66354E-06,0,1.81964E-05,5.52425E-05,3.92714E-05,9.58692E-05,3.45726E-05,0,2.79679E-06,0,2.6959E-06,1.23397E-05,8.1606E-06
1b.RACE,0,0,0,0,0,0,0,0,0,0,0,0,0
2.RACE,1.81964E-05,0,0.013901376,0.003353396,0.00303163,0.002410407,0.002680323,0,0.000143778,0,0.002755141,0.00294329,0.003132887
3.RACE,5.52425E-05,0,0.003353396,0.015759486,0.003592897,0.004020282,0.00304502,0,0.000701857,0,0.001767599,0.001253022,0.001712257
4.RACE,3.92714E-05,0,0.00303163,0.003592897,0.060471309,0.003923785,0.003171774,0,0.001785672,0,0.001675575,0.0016801,0.00030001
5.RACE,9.58692E-05,0,0.002410407,0.004020282,0.003923785,1.016338128,0.006380693,0,-0.002115887,0,0.000451827,0.001328735,-0.007917856
6.RACE,3.45726E-05,0,0.002680323,0.00304502,0.003171774,0.006380693,0.042732116,0,-0.000904542,0,0.000887918,0.001595405,-0.002083983
0b.FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0
1.FEMALE,2.79679E-06,0,0.000143778,0.000701857,0.001785672,-0.002115887,-0.000904542,0,0.006702916,0,-6.73052E-05,-0.000527885,-0.000573032
1b.ZIPINC_QRTL,0,0,0,0,0,0,0,0,0,0,0,0,0
2.ZIPINC_QRTL,2.6959E-06,0,0.002755141,0.001767599,0.001675575,0.000451827,0.000887918,0,-6.73052E-05,0,0.011719826,0.006431091,0.006621967
3.ZIPINC_QRTL,1.23397E-05,0,0.00294329,0.001253022,0.0016801,0.001328735,0.001595405,0,-0.000527885,0,0.006431091,0.013600289,0.006510486
4.ZIPINC_QRTL,8.1606E-06,0,0.003132887,0.001712257,0.00030001,-0.007917856,-0.002083983,0,-0.000573032,0,0.006621967,0.006510486,0.015363961
